n_procs;time(s);mPow_size
1;8.62032e-06;4
1;2.5928e-06;4
1;8.73208e-06;4
1;3.11434e-06;4
1;9.045e-06;4
2;6.68317e-06;4
2;4.23938e-06;4
2;4.17233e-06;4
2;4.08292e-06;4
2;6.48201e-06;4
4;4.13507e-06;4
4;4.41819e-06;4
4;4.08292e-06;4
4;4.44055e-06;4
4;5.87106e-06;4
8;2.57567e-05;4
8;7.21216e-06;4
8;5.34952e-06;4
8;5.03659e-06;4
8;5.1111e-06;4
16;5.47543e-05;4
16;1.2815e-05;4
16;9.574e-06;4
16;9.06736e-06;4
16;8.44896e-06;4
32;0;4
64;0;4
1;0.000588804;8
1;0.000503525;8
1;0.000557765;8
1;0.000482969;8
1;0.000520788;8
2;0.000331298;8
2;0.000282086;8
2;0.00025101;8
2;0.000253581;8
2;0.000249386;8
4;0.000285946;8
4;0.000155427;8
4;0.00015454;8
4;0.000158943;8
4;0.000153452;8
8;0.0002665;8
8;0.000122175;8
8;0.000118352;8
8;0.000120588;8
8;0.000118278;8
16;0.000114501;8
16;9.40114e-05;8
16;9.00477e-05;8
16;8.9027e-05;8
16;9.43318e-05;8
32;0.00011266;8
32;9.93013e-05;8
32;9.4004e-05;8
32;9.33781e-05;8
32;9.16347e-05;8
64;0.000112832;8
64;0.000103705;8
64;9.59858e-05;8
64;9.24245e-05;8
64;9.19998e-05;8
1;0.418875;12
1;0.478014;12
1;0.480648;12
1;0.475142;12
1;0.464421;12
2;0.251433;12
2;0.262184;12
2;0.248024;12
2;0.269313;12
2;0.262558;12
4;0.153503;12
4;0.154052;12
4;0.150499;12
4;0.150705;12
4;0.156628;12
8;0.091601;12
8;0.0888906;12
8;0.0870254;12
8;0.0870542;12
8;0.0871463;12
16;0.0639386;12
16;0.0579518;12
16;0.0544109;12
16;0.0541768;12
16;0.0540523;12
32;0.0369142;12
32;0.041854;12
32;0.0374194;12
32;0.037228;12
32;0.0374263;12
64;0.0311749;12
64;0.0320042;12
64;0.026067;12
64;0.0260713;12
64;0.0260073;12